,time,Room,Day,Class,Enrollment,Instructor,Str_Start,Str_End
171,1/1/1900 9:30,2320,Monday,NSSA( 102)-Computer Systems Concepts,17,Lawrence Hill,8:00,9:50
172,1/1/1900 10:00,2320,Monday,N/A,0,N/A,N/A,N/A
173,1/1/1900 10:30,2320,Monday,N/A,0,N/A,N/A,N/A
174,1/1/1900 11:00,2320,Monday,N/A,0,N/A,N/A,N/A
175,1/1/1900 11:30,2320,Monday,N/A,0,N/A,N/A,N/A
176,1/1/1900 12:00,2320,Monday,N/A,0,N/A,N/A,N/A
177,1/1/1900 12:30,2320,Monday,N/A,0,N/A,N/A,N/A
178,1/1/1900 13:00,2320,Monday,N/A,0,N/A,N/A,N/A
179,1/1/1900 13:30,2320,Monday,N/A,0,N/A,N/A,N/A
180,1/1/1900 14:00,2320,Monday,N/A,0,N/A,N/A,N/A
181,1/1/1900 14:30,2320,Monday,N/A,0,N/A,N/A,N/A
182,1/1/1900 15:00,2320,Monday,N/A,0,N/A,N/A,N/A
183,1/1/1900 15:30,2320,Monday,N/A,0,N/A,N/A,N/A
184,1/1/1900 16:00,2320,Monday,N/A,0,N/A,N/A,N/A
185,1/1/1900 16:30,2320,Monday,N/A,0,N/A,N/A,N/A
186,1/1/1900 17:00,2320,Monday,N/A,0,N/A,N/A,N/A
187,1/1/1900 17:30,2320,Monday,N/A,0,N/A,N/A,N/A
188,1/1/1900 18:00,2320,Monday,N/A,0,N/A,N/A,N/A
189,1/1/1900 18:30,2320,Monday,N/A,0,N/A,N/A,N/A
190,1/1/1900 19:00,2320,Monday,N/A,0,N/A,N/A,N/A
191,1/1/1900 19:30,2320,Monday,N/A,0,N/A,N/A,N/A
192,1/1/1900 20:00,2320,Monday,N/A,0,N/A,N/A,N/A
193,1/1/1900 20:30,2320,Monday,N/A,0,N/A,N/A,N/A
194,1/1/1900 21:00,2320,Monday,N/A,0,N/A,N/A,N/A
195,1/1/1900 21:30,2320,Monday,,0,,21:30,22:00
196,1/1/1900 8:00,2320,Thursday,,0,,8:00,8:30
197,1/1/1900 8:30,2320,Thursday,N/A,0,N/A,N/A,N/A
198,1/1/1900 9:00,2320,Thursday,N/A,0,N/A,N/A,N/A
199,1/1/1900 9:30,2320,Thursday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
200,1/1/1900 10:00,2320,Thursday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
201,1/1/1900 10:30,2320,Thursday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
202,1/1/1900 11:00,2320,Thursday,N/A,0,N/A,N/A,N/A
203,1/1/1900 11:30,2320,Thursday,N/A,0,N/A,N/A,N/A
204,1/1/1900 12:00,2320,Thursday,N/A,0,N/A,N/A,N/A
205,1/1/1900 12:30,2320,Thursday,N/A,0,N/A,N/A,N/A
206,1/1/1900 13:00,2320,Thursday,N/A,0,N/A,N/A,N/A
207,1/1/1900 13:30,2320,Thursday,N/A,0,N/A,N/A,N/A
208,1/1/1900 14:00,2320,Thursday,N/A,0,N/A,N/A,N/A
209,1/1/1900 14:30,2320,Thursday,N/A,0,N/A,N/A,N/A
210,1/1/1900 15:00,2320,Thursday,N/A,0,N/A,N/A,N/A
211,1/1/1900 15:30,2320,Thursday,N/A,0,N/A,N/A,N/A
212,1/1/1900 16:00,2320,Thursday,N/A,0,N/A,N/A,N/A
213,1/1/1900 16:30,2320,Thursday,N/A,0,N/A,N/A,N/A
214,1/1/1900 17:00,2320,Thursday,N/A,0,N/A,N/A,N/A
215,1/1/1900 17:30,2320,Thursday,N/A,0,N/A,N/A,N/A
216,1/1/1900 18:00,2320,Thursday,N/A,0,N/A,N/A,N/A
217,1/1/1900 18:30,2320,Thursday,N/A,0,N/A,N/A,N/A
218,1/1/1900 19:00,2320,Thursday,N/A,0,N/A,N/A,N/A
219,1/1/1900 19:30,2320,Thursday,N/A,0,N/A,N/A,N/A
220,1/1/1900 20:00,2320,Thursday,N/A,0,N/A,N/A,N/A
221,1/1/1900 20:30,2320,Thursday,N/A,0,N/A,N/A,N/A
222,1/1/1900 21:00,2320,Thursday,N/A,0,N/A,N/A,N/A
223,1/1/1900 21:30,2320,Thursday,,0,,21:30,22:00
224,1/1/1900 8:00,2320,Tuesday,,0,,8:00,8:30
225,1/1/1900 8:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
226,1/1/1900 9:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
227,1/1/1900 9:30,2320,Tuesday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
228,1/1/1900 10:00,2320,Tuesday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
229,1/1/1900 10:30,2320,Tuesday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
230,1/1/1900 11:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
231,1/1/1900 11:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
232,1/1/1900 12:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
233,1/1/1900 12:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
234,1/1/1900 13:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
235,1/1/1900 13:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
236,1/1/1900 14:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
237,1/1/1900 14:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
238,1/1/1900 15:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
239,1/1/1900 15:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
240,1/1/1900 16:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
241,1/1/1900 16:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
242,1/1/1900 17:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
243,1/1/1900 17:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
244,1/1/1900 18:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
245,1/1/1900 18:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
246,1/1/1900 19:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
247,1/1/1900 19:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
248,1/1/1900 20:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
249,1/1/1900 20:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
250,1/1/1900 21:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
251,1/1/1900 21:30,2320,Tuesday,,0,,21:30,22:00
252,1/1/1900 8:00,2320,Wednesday,NSSA( 245)-Network Services,7,Sylvia Perez-Hardy,8:00,9:50
253,1/1/1900 8:30,2320,Wednesday,NSSA( 245)-Network Services,7,Sylvia Perez-Hardy,8:00,9:50
254,1/1/1900 9:00,2320,Wednesday,NSSA( 245)-Network Services,7,Sylvia Perez-Hardy,8:00,9:50
255,1/1/1900 9:30,2320,Wednesday,NSSA( 245)-Network Services,7,Sylvia Perez-Hardy,8:00,9:50
256,1/1/1900 10:00,2320,Wednesday,NSSA( 245)-Network Services,31,Jonathan Weissman,10:00,11:50
257,1/1/1900 10:30,2320,Wednesday,NSSA( 245)-Network Services,31,Jonathan Weissman,10:00,11:50
258,1/1/1900 11:00,2320,Wednesday,NSSA( 245)-Network Services,31,Jonathan Weissman,10:00,11:50
259,1/1/1900 11:30,2320,Wednesday,NSSA( 245)-Network Services,31,Jonathan Weissman,10:00,11:50
260,1/1/1900 12:00,2320,Wednesday,NSSA( 245)-Network Services,28,Mitel Kuliner,12:00,13:50
261,1/1/1900 12:30,2320,Wednesday,NSSA( 245)-Network Services,28,Mitel Kuliner,12:00,13:50
262,1/1/1900 13:00,2320,Wednesday,NSSA( 245)-Network Services,28,Mitel Kuliner,12:00,13:50
263,1/1/1900 13:30,2320,Wednesday,NSSA( 245)-Network Services,28,Mitel Kuliner,12:00,13:50
264,1/1/1900 14:00,2320,Wednesday,NSSA( 245)-Network Services,20,Sylvia Perez-Hardy,14:00,15:50
265,1/1/1900 14:30,2320,Wednesday,NSSA( 245)-Network Services,20,Sylvia Perez-Hardy,14:00,15:50
266,1/1/1900 15:00,2320,Wednesday,NSSA( 245)-Network Services,20,Sylvia Perez-Hardy,14:00,15:50
267,1/1/1900 15:30,2320,Wednesday,NSSA( 245)-Network Services,20,Sylvia Perez-Hardy,14:00,15:50
268,1/1/1900 16:00,2320,Wednesday,N/A,0,N/A,N/A,N/A
269,1/1/1900 16:30,2320,Wednesday,N/A,0,N/A,N/A,N/A
270,1/1/1900 17:00,2320,Wednesday,NSSA( 322)-Systems Administration II,16,Garret Arcoraci,17:00,18:50
271,1/1/1900 17:30,2320,Wednesday,NSSA( 322)-Systems Administration II,16,Garret Arcoraci,17:00,18:50
272,1/1/1900 18:00,2320,Wednesday,NSSA( 322)-Systems Administration II,16,Garret Arcoraci,17:00,18:50
273,1/1/1900 18:30,2320,Wednesday,NSSA( 322)-Systems Administration II,16,Garret Arcoraci,17:00,18:50
274,1/1/1900 19:00,2320,Wednesday,N/A,0,N/A,N/A,N/A
275,1/1/1900 19:30,2320,Wednesday,N/A,0,N/A,N/A,N/A
276,1/1/1900 20:00,2320,Wednesday,N/A,0,N/A,N/A,N/A
277,1/1/1900 20:30,2320,Wednesday,N/A,0,N/A,N/A,N/A
278,1/1/1900 21:00,2320,Wednesday,N/A,0,N/A,N/A,N/A
279,1/1/1900 21:30,2320,Wednesday,,0,,21:30,22:00
280,1/1/1900 8:00,2520,Friday,,0,,8:00,8:30
281,1/1/1900 8:30,2520,Friday,N/A,0,N/A,N/A,N/A
282,1/1/1900 9:00,2520,Friday,N/A,0,N/A,N/A,N/A
283,1/1/1900 9:30,2520,Friday,N/A,0,N/A,N/A,N/A
284,1/1/1900 10:00,2520,Friday,ISTE( 464)-AccessibilityThroughTheLifespa,8,Elissa Weeden,10:00,10:50
